Build Select,,Starting Class,,Head,Body,Arms,Legs,,Talismans,,,,,,,Great Rune,,Crystal Tear 1,Crystal Tear 2,,Weapon Class,,,,,,,,,Upgrade Levels,Unarmed,Unarmed,Unarmed,Unarmed,Unarmed,Unarmed,,Unarmed,Unarmed,Unarmed,Unarmed,Unarmed,Unarmed,,weapons,canCast,Catalyst Select,,Spell 1,Spell 2,Spell 3,Spell 4,Spell 5,Spell 6,Spell 7,Spell 8,Spell 9,Spell 10,Spell 11,Spell 12,,Defaults,,
,,,,Greathelm,Blackflame Monk Armor,,,,Host's Trick-Mirror,6080.0,Furled Finger's Trick-Mirror,Furled Finger's Trick-Mirror,Furled Finger's Trick-Mirror,Furled Finger's Trick-Mirror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gelmir's Fury,Gelmir's Fury,Gelmir's Fury,Gelmir's Fury,Gelmir's Fury,Gelmir's Fury,Gelmir's Fury,Gelmir's Fury,Gelmir's Fury,Gelmir's Fury,Gelmir's Fury,Gelmir's Fury,,,,
,,,,Carian Knight Helm,Zamor Armor,,,,Shabriri's Woe,6050.0,Host's Trick-Mirror,Host's Trick-Mirror,Host's Trick-Mirror,Host's Trick-Mirror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gelmir's Fury,Gelmir's Fury,Gelmir's Fury,Gelmir's Fury,Gelmir's Fury,Gelmir's Fury,Gelmir's Fury,Gelmir's Fury,Gelmir's Fury,Gelmir's Fury,Gelmir's Fury,Gelmir's Fury,,,,
,,,,Godrick Knight Helm,Black Knife Armor,,,,Daedicar's Woe,6060.0,Shabriri's Woe,Shabriri's Woe,Shabriri's Woe,Shabriri's Woe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rykard's Rancor,Rykard's Rancor,Rykard's Rancor,Rykard's Rancor,Rykard's Rancor,Rykard's Rancor,Rykard's Rancor,Rykard's Rancor,Rykard's Rancor,Rykard's Rancor,Rykard's Rancor,Rykard's Rancor,,,,
,,,,Cuckoo Knight Helm,Black Knife Armor (Altered),,,,Sacrificial Twig,6070.0,Daedicar's Woe,Daedicar's Woe,Daedicar's Woe,Daedicar's Woe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glintstone Icecrag,Glintstone Icecrag,Glintstone Icecrag,Glintstone Icecrag,Glintstone Icecrag,Glintstone Icecrag,Glintstone Icecrag,Glintstone Icecrag,Glintstone Icecrag,Glintstone Icecrag,Glintstone Icecrag,Glintstone Icecrag,,,,
,,,,Redmane Knight Helm,Armor of Night,,,,,,Sacrificial Twig,Sacrificial Twig,Sacrificial Twig,Sacrificial Twig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freezing Mist,Freezing Mist,Freezing Mist,Freezing Mist,Freezing Mist,Freezing Mist,Freezing Mist,Freezing Mist,Freezing Mist,Freezing Mist,Freezing Mist,Freezing Mist,,,,
,,,,Gelmir Knight Helm,Malenia's Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freezing Mist,Freezing Mist,Freezing Mist,Freezing Mist,Freezing Mist,Freezing Mist,Freezing Mist,Freezing Mist,Freezing Mist,Freezing Mist,Freezing Mist,Freezing Mist,,,,
,,,,Leyndell Knight Helm,Malenia's Armor (Altered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frozen Armament,Frozen Armament,Frozen Armament,Frozen Armament,Frozen Armament,Frozen Armament,Frozen Armament,Frozen Armament,Frozen Armament,Frozen Armament,Frozen Armament,Frozen Armament,,,,
,,,,Haligtree Knight Helm,Elden Lord Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zamor Ice Storm,Zamor Ice Storm,Zamor Ice Storm,Zamor Ice Storm,Zamor Ice Storm,Zamor Ice Storm,Zamor Ice Storm,Zamor Ice Storm,Zamor Ice Storm,Zamor Ice Storm,Zamor Ice Storm,Zamor Ice Storm,,,,
,,,,Black Knight Helm,Elden Lord Armor (Altered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zamor Ice Storm,Zamor Ice Storm,Zamor Ice Storm,Zamor Ice Storm,Zamor Ice Storm,Zamor Ice Storm,Zamor Ice Storm,Zamor Ice Storm,Zamor Ice Storm,Zamor Ice Storm,Zamor Ice Storm,Zamor Ice Storm,,,,
,,,,Bloodhound Knight Helm,Messmer's Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zamor Ice Storm,Zamor Ice Storm,Zamor Ice Storm,Zamor Ice Storm,Zamor Ice Storm,Zamor Ice Storm,Zamor Ice Storm,Zamor Ice Storm,Zamor Ice Storm,Zamor Ice Storm,Zamor Ice Storm,Zamor Ice Storm,,,,
,,,,Cleanrot Helm,Knight Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zamor Ice Storm,Zamor Ice Storm,Zamor Ice Storm,Zamor Ice Storm,Zamor Ice Storm,Zamor Ice Storm,Zamor Ice Storm,Zamor Ice Storm,Zamor Ice Storm,Zamor Ice Storm,Zamor Ice Storm,Zamor Ice Storm,,,,
,,,,Cleanrot Helm (Altered),Vagabond Knight Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,,,,
,,,,Fire Knight Helm,Vagabond Knight Armor (Altered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,,,,
,,,,Winged Serpent Helm,Carian Knight Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,,,,
,,,,Death Mask Helm,Carian Knight Armor (Altered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,,,,
,,,,Salza's Hood,Godrick Knight Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,,,,
,,,,Death Knight Helm,Godrick Knight Armor (Altered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,Shattering Crystal,,,,
,,,,Horned Warrior Helm,Cuckoo Knight Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crystal Torrent,Crystal Torrent,Crystal Torrent,Crystal Torrent,Crystal Torrent,Crystal Torrent,Crystal Torrent,Crystal Torrent,Crystal Torrent,Crystal Torrent,Crystal Torrent,Crystal Torrent,,,,
,,,,Divine Beast Helm,Cuckoo Knight Armor (Altered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crystal Torrent,Crystal Torrent,Crystal Torrent,Crystal Torrent,Crystal Torrent,Crystal Torrent,Crystal Torrent,Crystal Torrent,Crystal Torrent,Crystal Torrent,Crystal Torrent,Crystal Torrent,,,,
,,,,Divine Bird Helm,Redmane Knight Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crystal Release,Crystal Release,Crystal Release,Crystal Release,Crystal Release,Crystal Release,Crystal Release,Crystal Release,Crystal Release,Crystal Release,Crystal Release,Crystal Release,,,,
,,,,Oathseeker Knight Helm,Redmane Knight Armor (Altered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crystal Release,Crystal Release,Crystal Release,Crystal Release,Crystal Release,Crystal Release,Crystal Release,Crystal Release,Crystal Release,Crystal Release,Crystal Release,Crystal Release,,,,
,,,,Raging Wolf Helm,Gelmir Knight Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gravity Well,Gravity Well,Gravity Well,Gravity Well,Gravity Well,Gravity Well,Gravity Well,Gravity Well,Gravity Well,Gravity Well,Gravity Well,Gravity Well,,,,
,,,,Hoslow's Helm,Gelmir Knight Armor (Altered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gravity Well,Gravity Well,Gravity Well,Gravity Well,Gravity Well,Gravity Well,Gravity Well,Gravity Well,Gravity Well,Gravity Well,Gravity Well,Gravity Well,,,,
,,,,Diallos's Mask,Leyndell Knight Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collapsing Stars,Collapsing Stars,Collapsing Stars,Collapsing Stars,Collapsing Stars,Collapsing Stars,Collapsing Stars,Collapsing Stars,Collapsing Stars,Collapsing Stars,Collapsing Stars,Collapsing Stars,,,,
,,,,Twinned Helm,Leyndell Knight Armor (Altered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collapsing Stars,Collapsing Stars,Collapsing Stars,Collapsing Stars,Collapsing Stars,Collapsing Stars,Collapsing Stars,Collapsing Stars,Collapsing Stars,Collapsing Stars,Collapsing Stars,Collapsing Stars,,,,
,,,,Drake Knight Helm,Haligtree Knight Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collapsing Stars,Collapsing Stars,Collapsing Stars,Collapsing Stars,Collapsing Stars,Collapsing Stars,Collapsing Stars,Collapsing Stars,Collapsing Stars,Collapsing Stars,Collapsing Stars,Collapsing Stars,,,,
,,,,Drake Knight Helm (Altered),Haligtree Knight Armor (Altered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collapsing Stars,Collapsing Stars,Collapsing Stars,Collapsing Stars,Collapsing Stars,Collapsing Stars,Collapsing Stars,Collapsing Stars,Collapsing Stars,Collapsing Stars,Collapsing Stars,Collapsing Stars,,,,
,,,,Briar Helm,Mausoleum Knight Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gravitational Missile,Gravitational Missile,Gravitational Missile,Gravitational Missile,Gravitational Missile,Gravitational Missile,Gravitational Missile,Gravitational Missile,Gravitational Missile,Gravitational Missile,Gravitational Missile,Gravitational Missile,,,,
,,,,Fingerprint Helm,Mausoleum Knight Armor (Altered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gravitational Missile,Gravitational Missile,Gravitational Missile,Gravitational Missile,Gravitational Missile,Gravitational Missile,Gravitational Missile,Gravitational Missile,Gravitational Missile,Gravitational Missile,Gravitational Missile,Gravitational Missile,,,,
,,,,Rakshasa Helm,Black Knight Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gravitational Missile,Gravitational Missile,Gravitational Missile,Gravitational Missile,Gravitational Missile,Gravitational Missile,Gravitational Missile,Gravitational Missile,Gravitational Missile,Gravitational Missile,Gravitational Missile,Gravitational Missile,,,,
,,,,Royal Remains Helm,Bloodhound Knight Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gravitational Missile,Gravitational Missile,Gravitational Missile,Gravitational Missile,Gravitational Missile,Gravitational Missile,Gravitational Missile,Gravitational Missile,Gravitational Missile,Gravitational Missile,Gravitational Missile,Gravitational Missile,,,,
,,,,All-Knowing Helm,Bloodhound Knight Armor (Altered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rock Sling,Rock Sling,Rock Sling,Rock Sling,Rock Sling,Rock Sling,Rock Sling,Rock Sling,Rock Sling,Rock Sling,Rock Sling,Rock Sling,,,,
,,,,Royal Knight Helm,Cleanrot Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blades of Stone,Blades of Stone,Blades of Stone,Blades of Stone,Blades of Stone,Blades of Stone,Blades of Stone,Blades of Stone,Blades of Stone,Blades of Stone,Blades of Stone,Blades of Stone,,,,
,,,,Rellana's Helm,Cleanrot Armor (Altered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blades of Stone,Blades of Stone,Blades of Stone,Blades of Stone,Blades of Stone,Blades of Stone,Blades of Stone,Blades of Stone,Blades of Stone,Blades of Stone,Blades of Stone,Blades of Stone,,,,
,,,,Maliketh's Helm,Fire Knight Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blades of Stone,Blades of Stone,Blades of Stone,Blades of Stone,Blades of Stone,Blades of Stone,Blades of Stone,Blades of Stone,Blades of Stone,Blades of Stone,Blades of Stone,Blades of Stone,,,,
,,,,Banished Knight Helm,Fire Knight Armor (Altered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meteorite,Meteorite,Meteorite,Meteorite,Meteorite,Meteorite,Meteorite,Meteorite,Meteorite,Meteorite,Meteorite,Meteorite,,,,
,,,,Banished Knight Helm (Altered),Death Knight Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meteorite,Meteorite,Meteorite,Meteorite,Meteorite,Meteorite,Meteorite,Meteorite,Meteorite,Meteorite,Meteorite,Meteorite,,,,
,,,,Night's Cavalry Helm,Horned Warrior Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meteorite of Astel,Meteorite of Astel,Meteorite of Astel,Meteorite of Astel,Meteorite of Astel,Meteorite of Astel,Meteorite of Astel,Meteorite of Astel,Meteorite of Astel,Meteorite of Astel,Meteorite of Astel,Meteorite of Astel,,,,
,,,,Night's Cavalry Helm (Altered),Divine Beast Warrior Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meteorite of Astel,Meteorite of Astel,Meteorite of Astel,Meteorite of Astel,Meteorite of Astel,Meteorite of Astel,Meteorite of Astel,Meteorite of Astel,Meteorite of Astel,Meteorite of Astel,Meteorite of Astel,Meteorite of Astel,,,,
,,,,Helm of Solitude,Divine Bird Warrior Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glintstone Nail,Glintstone Nail,Glintstone Nail,Glintstone Nail,Glintstone Nail,Glintstone Nail,Glintstone Nail,Glintstone Nail,Glintstone Nail,Glintstone Nail,Glintstone Nail,Glintstone Nail,,,,
,,,,Veteran's Helm,Oathseeker Knight Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glintstone Nail,Glintstone Nail,Glintstone Nail,Glintstone Nail,Glintstone Nail,Glintstone Nail,Glintstone Nail,Glintstone Nail,Glintstone Nail,Glintstone Nail,Glintstone Nail,Glintstone Nail,,,,
,,,,Scaled Helm,Leda's Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glintstone Nails,Glintstone Nails,Glintstone Nails,Glintstone Nails,Glintstone Nails,Glintstone Nails,Glintstone Nails,Glintstone Nails,Glintstone Nails,Glintstone Nails,Glintstone Nails,Glintstone Nails,,,,
,,,,Beast Champion Helm,Raging Wolf Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glintstone Nails,Glintstone Nails,Glintstone Nails,Glintstone Nails,Glintstone Nails,Glintstone Nails,Glintstone Nails,Glintstone Nails,Glintstone Nails,Glintstone Nails,Glintstone Nails,Glintstone Nails,,,,
,,,,Tree Sentinel Helm,Raging Wolf Armor (Altered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fleeting Microcosm,Fleeting Microcosm,Fleeting Microcosm,Fleeting Microcosm,Fleeting Microcosm,Fleeting Microcosm,Fleeting Microcosm,Fleeting Microcosm,Fleeting Microcosm,Fleeting Microcosm,Fleeting Microcosm,Fleeting Microcosm,,,,
,,,,Malformed Dragon Helm,Hoslow's Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fleeting Microcosm,Fleeting Microcosm,Fleeting Microcosm,Fleeting Microcosm,Fleeting Microcosm,Fleeting Microcosm,Fleeting Microcosm,Fleeting Microcosm,Fleeting Microcosm,Fleeting Microcosm,Fleeting Microcosm,Fleeting Microcosm,,,,
,,,,Crucible Axe Helm,Hoslow's Armor (Altered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fleeting Microcosm,Fleeting Microcosm,Fleeting Microcosm,Fleeting Microcosm,Fleeting Microcosm,Fleeting Microcosm,Fleeting Microcosm,Fleeting Microcosm,Fleeting Microcosm,Fleeting Microcosm,Fleeting Microcosm,Fleeting Microcosm,,,,
,,,,Crucible Tree Helm,Twinned Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fleeting Microcosm,Fleeting Microcosm,Fleeting Microcosm,Fleeting Microcosm,Fleeting Microcosm,Fleeting Microcosm,Fleeting Microcosm,Fleeting Microcosm,Fleeting Microcosm,Fleeting Microcosm,Fleeting Microcosm,Fleeting Microcosm,,,,
,,,,Crucible Hammer-Helm,Twinned Armor (Altered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cherishing Fingers,Cherishing Fingers,Cherishing Fingers,Cherishing Fingers,Cherishing Fingers,Cherishing Fingers,Cherishing Fingers,Cherishing Fingers,Cherishing Fingers,Cherishing Fingers,Cherishing Fingers,Cherishing Fingers,,,,
,,,,Gaius's Helm,Drake Knight Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cherishing Fingers,Cherishing Fingers,Cherishing Fingers,Cherishing Fingers,Cherishing Fingers,Cherishing Fingers,Cherishing Fingers,Cherishing Fingers,Cherishing Fingers,Cherishing Fingers,Cherishing Fingers,Cherishing Fingers,,,,
,,,,Radahn's Redmane Helm,Drake Knight Armor (Altered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oracle Bubbles,Oracle Bubbles,Oracle Bubbles,Oracle Bubbles,Oracle Bubbles,Oracle Bubbles,Oracle Bubbles,Oracle Bubbles,Oracle Bubbles,Oracle Bubbles,Oracle Bubbles,Oracle Bubbles,,,,
,,,,Young Lion's Helm,Blaidd's Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oracle Bubbles,Oracle Bubbles,Oracle Bubbles,Oracle Bubbles,Oracle Bubbles,Oracle Bubbles,Oracle Bubbles,Oracle Bubbles,Oracle Bubbles,Oracle Bubbles,Oracle Bubbles,Oracle Bubbles,,,,
,,,,Lionel's Helm,Blaidd's Armor (Altered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Great Oracular Bubble,Great Oracular Bubble,Great Oracular Bubble,Great Oracular Bubble,Great Oracular Bubble,Great Oracular Bubble,Great Oracular Bubble,Great Oracular Bubble,Great Oracular Bubble,Great Oracular Bubble,Great Oracular Bubble,Great Oracular Bubble,,,,
,,,,Bull-Goat Helm,Briar Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Great Oracular Bubble,Great Oracular Bubble,Great Oracular Bubble,Great Oracular Bubble,Great Oracular Bubble,Great Oracular Bubble,Great Oracular Bubble,Great Oracular Bubble,Great Oracular Bubble,Great Oracular Bubble,Great Oracular Bubble,Great Oracular Bubble,,,,
,,,,Verdigris Helm,Briar Armor (Altered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Briars of Sin,Briars of Sin,Briars of Sin,Briars of Sin,Briars of Sin,Briars of Sin,Briars of Sin,Briars of Sin,Briars of Sin,Briars of Sin,Briars of Sin,Briars of Sin,,,,
,,,,Omen Helm,Fingerprint Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Briars of Sin,Briars of Sin,Briars of Sin,Briars of Sin,Briars of Sin,Briars of Sin,Briars of Sin,Briars of Sin,Briars of Sin,Briars of Sin,Briars of Sin,Briars of Sin,,,,
,,,,Fire Prelate Helm,Fingerprint Armor (Altered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Briars of Sin,Briars of Sin,Briars of Sin,Briars of Sin,Briars of Sin,Briars of Sin,Briars of Sin,Briars of Sin,Briars of Sin,Briars of Sin,Briars of Sin,Briars of Sin,,,,
,,,,Pumpkin Helm,Rakshasa Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Briars of Punishment,Briars of Punishment,Briars of Punishment,Briars of Punishment,Briars of Punishment,Briars of Punishment,Briars of Punishment,Briars of Punishment,Briars of Punishment,Briars of Punishment,Briars of Punishment,Briars of Punishment,,,,
,,,,Divine Beast Head,Royal Remains Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mantle of Thorns,Mantle of Thorns,Mantle of Thorns,Mantle of Thorns,Mantle of Thorns,Mantle of Thorns,Mantle of Thorns,Mantle of Thorns,Mantle of Thorns,Mantle of Thorns,Mantle of Thorns,Mantle of Thorns,,,,
,,,,,All-Knowing Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Impenetrable Thorns,Impenetrable Thorns,Impenetrable Thorns,Impenetrable Thorns,Impenetrable Thorns,Impenetrable Thorns,Impenetrable Thorns,Impenetrable Thorns,Impenetrable Thorns,Impenetrable Thorns,Impenetrable Thorns,Impenetrable Thorns,,,,
,,,,,All-Knowing Armor (Altered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rancorcall,Rancorcall,Rancorcall,Rancorcall,Rancorcall,Rancorcall,Rancorcall,Rancorcall,Rancorcall,Rancorcall,Rancorcall,Rancorcall,,,,
,,,,,Royal Knight Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rancorcall,Rancorcall,Rancorcall,Rancorcall,Rancorcall,Rancorcall,Rancorcall,Rancorcall,Rancorcall,Rancorcall,Rancorcall,Rancorcall,,,,
,,,,,Royal Knight Armor (Altered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ancient Death Rancor,Ancient Death Rancor,Ancient Death Rancor,Ancient Death Rancor,Ancient Death Rancor,Ancient Death Rancor,Ancient Death Rancor,Ancient Death Rancor,Ancient Death Rancor,Ancient Death Rancor,Ancient Death Rancor,Ancient Death Rancor,,,,
,,,,,Rellana's Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ancient Death Rancor,Ancient Death Rancor,Ancient Death Rancor,Ancient Death Rancor,Ancient Death Rancor,Ancient Death Rancor,Ancient Death Rancor,Ancient Death Rancor,Ancient Death Rancor,Ancient Death Rancor,Ancient Death Rancor,Ancient Death Rancor,,,,
,,,,,Maliketh's Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings of Spectral Light,Rings of Spectral Light,Rings of Spectral Light,Rings of Spectral Light,Rings of Spectral Light,Rings of Spectral Light,Rings of Spectral Light,Rings of Spectral Light,Rings of Spectral Light,Rings of Spectral Light,Rings of Spectral Light,Rings of Spectral Light,,,,
,,,,,Maliketh's Armor (Altered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings of Spectral Light,Rings of Spectral Light,Rings of Spectral Light,Rings of Spectral Light,Rings of Spectral Light,Rings of Spectral Light,Rings of Spectral Light,Rings of Spectral Light,Rings of Spectral Light,Rings of Spectral Light,Rings of Spectral Light,Rings of Spectral Light,,,,
,,,,,Banished Knight Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Explosive Ghostflame,Explosive Ghostflame,Explosive Ghostflame,Explosive Ghostflame,Explosive Ghostflame,Explosive Ghostflame,Explosive Ghostflame,Explosive Ghostflame,Explosive Ghostflame,Explosive Ghostflame,Explosive Ghostflame,Explosive Ghostflame,,,,
,,,,,Banished Knight Armor (Altered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Explosive Ghostflame,Explosive Ghostflame,Explosive Ghostflame,Explosive Ghostflame,Explosive Ghostflame,Explosive Ghostflame,Explosive Ghostflame,Explosive Ghostflame,Explosive Ghostflame,Explosive Ghostflame,Explosive Ghostflame,Explosive Ghostflame,,,,
,,,,,Night's Cavalry Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fia's Mist,Fia's Mist,Fia's Mist,Fia's Mist,Fia's Mist,Fia's Mist,Fia's Mist,Fia's Mist,Fia's Mist,Fia's Mist,Fia's Mist,Fia's Mist,,,,
,,,,,Night's Cavalry Armor (Altered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fia's Mist,Fia's Mist,Fia's Mist,Fia's Mist,Fia's Mist,Fia's Mist,Fia's Mist,Fia's Mist,Fia's Mist,Fia's Mist,Fia's Mist,Fia's Mist,,,,
,,,,,Armor of Solitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tibia's Summons,Tibia's Summons,Tibia's Summons,Tibia's Summons,Tibia's Summons,Tibia's Summons,Tibia's Summons,Tibia's Summons,Tibia's Summons,Tibia's Summons,Tibia's Summons,Tibia's Summons,,,,
,,,,,Armor of Solitude (Altered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mass of Putrescence,Mass of Putrescence,Mass of Putrescence,Mass of Putrescence,Mass of Putrescence,Mass of Putrescence,Mass of Putrescence,Mass of Putrescence,Mass of Putrescence,Mass of Putrescence,Mass of Putrescence,Mass of Putrescence,,,,
,,,,,Veteran's Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mass of Putrescence,Mass of Putrescence,Mass of Putrescence,Mass of Putrescence,Mass of Putrescence,Mass of Putrescence,Mass of Putrescence,Mass of Putrescence,Mass of Putrescence,Mass of Putrescence,Mass of Putrescence,Mass of Putrescence,,,,
,,,,,Veteran's Armor (Altered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mass of Putrescence,Mass of Putrescence,Mass of Putrescence,Mass of Putrescence,Mass of Putrescence,Mass of Putrescence,Mass of Putrescence,Mass of Putrescence,Mass of Putrescence,Mass of Putrescence,Mass of Putrescence,Mass of Putrescence,,,,
